uid,wav_path,corpus,speaker_id,gender,label,orig_label,label_id,transcript,duration,samplerate,dialogue_id,utterance_id,split
meld_train_dia1_utt4,data/raw/MELD_hf/train/dia1_utt4.flac,meld,meld_Joey,unknown,neutral,neutral,0,Ok!,1.173,16000,1,4,train
meld_train_dia1_utt5,data/raw/MELD_hf/train/dia1_utt5.flac,meld,meld_Joey,unknown,neutral,neutral,0,"All right, well...",1.472,16000,1,5,train
meld_train_dia1_utt8,data/raw/MELD_hf/train/dia1_utt8.flac,meld,meld_Rachel,unknown,neutral,neutral,0,"Yeah, sure!",2.005,16000,1,8,train
meld_train_dia2_utt0,data/raw/MELD_hf/train/dia2_utt0.flac,meld,meld_Chandler,unknown,neutral,neutral,0,"Hey, Mon.",1.088,16000,2,0,train
meld_train_dia2_utt1,data/raw/MELD_hf/train/dia2_utt1.flac,meld,meld_Monica,unknown,neutral,neutral,0,Hey-hey-hey. You wanna hear something that sucks.,1.451,16000,2,1,train
meld_train_dia2_utt2,data/raw/MELD_hf/train/dia2_utt2.flac,meld,meld_Chandler,unknown,joy,joy,1,Do I ever.,1.835,16000,2,2,train
meld_train_dia2_utt3,data/raw/MELD_hf/train/dia2_utt3.flac,meld,meld_Monica,unknown,sadness,sadness,2,Chris says they're closing down the bar.,1.685,16000,2,3,train
meld_train_dia2_utt4,data/raw/MELD_hf/train/dia2_utt4.flac,meld,meld_Chandler,unknown,surprise,surprise,4,No way!,1.024,16000,2,4,train
meld_train_dia2_utt5,data/raw/MELD_hf/train/dia2_utt5.flac,meld,meld_Monica,unknown,neutral,neutral,0,"Yeah, apparently they're turning it into some kinda coffee place.",2.219,16000,2,5,train
meld_train_dia2_utt6,data/raw/MELD_hf/train/dia2_utt6.flac,meld,meld_Chandler,unknown,disgust,disgust,6,Just coffee! Where are we gonna hang out now?,4.8,16000,2,6,train
meld_train_dia2_utt7,data/raw/MELD_hf/train/dia2_utt7.flac,meld,meld_Monica,unknown,sadness,sadness,2,Got me.,2.688,16000,2,7,train
meld_train_dia2_utt8,data/raw/MELD_hf/train/dia2_utt8.flac,meld,meld_Chandler,unknown,neutral,neutral,0,Can I get a beer.,0.64,16000,2,8,train
meld_train_dia2_utt9,data/raw/MELD_hf/train/dia2_utt9.flac,meld,meld_Monica,unknown,neutral,neutral,0,"Hey, did you pick a roommate?",1.963,16000,2,9,train
meld_train_dia2_utt10,data/raw/MELD_hf/train/dia2_utt10.flac,meld,meld_Chandler,unknown,joy,joy,1,You betcha!,0.811,16000,2,10,train
meld_train_dia2_utt11,data/raw/MELD_hf/train/dia2_utt11.flac,meld,meld_Monica,unknown,neutral,neutral,0,Is it the Italian guy?,1.173,16000,2,11,train
meld_train_dia2_utt12,data/raw/MELD_hf/train/dia2_utt12.flac,meld,meld_Chandler,unknown,joy,joy,1,"Um-mm, yeah right!",1.216,16000,2,12,train
meld_train_dia3_utt0,data/raw/MELD_hf/train/dia3_utt0.flac,meld,meld_Phoebe,unknown,surprise,surprise,4,"Oh my God, oh my God! Poor Monica!",2.347,16000,3,0,train
meld_train_dia3_utt1,data/raw/MELD_hf/train/dia3_utt1.flac,meld,meld_Chandler,unknown,surprise,surprise,4,"What, what, what?!",1.131,16000,3,1,train
meld_train_dia3_utt2,data/raw/MELD_hf/train/dia3_utt2.flac,meld,meld_Phoebe,unknown,surprise,surprise,4,What?!,1.195,16000,3,2,train
meld_train_dia3_utt3,data/raw/MELD_hf/train/dia3_utt3.flac,meld,meld_Phoebe,unknown,neutral,neutral,0,He was with her when he wrote this poem.,2.432,16000,3,3,train
meld_train_dia3_utt4,data/raw/MELD_hf/train/dia3_utt4.flac,meld,meld_Phoebe,unknown,neutral,neutral,0,"Look, 'My vessel so empty with nothing inside.",2.837,16000,3,4,train
meld_train_dia3_utt5,data/raw/MELD_hf/train/dia3_utt5.flac,meld,meld_Phoebe,unknown,neutral,neutral,0,"Now that I've touched you, you seem emptier still.'",2.923,16000,3,5,train
meld_train_dia3_utt6,data/raw/MELD_hf/train/dia3_utt6.flac,meld,meld_Phoebe,unknown,surprise,surprise,4,"He thinks Monica is empty, she is the empty vase!",2.923,16000,3,6,train
meld_train_dia3_utt8,data/raw/MELD_hf/train/dia3_utt8.flac,meld,meld_Phoebe,unknown,sadness,sadness,2,"Oh, totally. Oh, God, oh, she seemed so happy too.",2.752,16000,3,8,train
meld_train_dia3_utt9,data/raw/MELD_hf/train/dia3_utt9.flac,meld,meld_Joey,unknown,neutral,neutral,0,Done.,1.515,16000,3,9,train
meld_train_dia4_utt0,data/raw/MELD_hf/train/dia4_utt0.flac,meld,meld_Rachel,unknown,surprise,surprise,4,Hey!,0.939,16000,4,0,train
meld_train_dia4_utt1,data/raw/MELD_hf/train/dia4_utt1.flac,meld,meld_Ross,unknown,joy,joy,1,Hi!,0.128,16000,4,1,train
meld_train_dia4_utt2,data/raw/MELD_hf/train/dia4_utt2.flac,meld,meld_Rachel,unknown,surprise,surprise,4,What are you doing here?,1.131,16000,4,2,train
meld_train_dia4_utt3,data/raw/MELD_hf/train/dia4_utt3.flac,meld,meld_Ross,unknown,neutral,neutral,0,"Ah y'know, this building is on my paper route so I...",2.752,16000,4,3,train
meld_train_dia4_utt4,data/raw/MELD_hf/train/dia4_utt4.flac,meld,meld_Rachel,unknown,neutral,neutral,0,Oh.,1.344,16000,4,4,train
meld_train_dia4_utt5,data/raw/MELD_hf/train/dia4_utt5.flac,meld,meld_Ross,unknown,neutral,neutral,0,Hi.,0.085,16000,4,5,train
meld_train_dia4_utt6,data/raw/MELD_hf/train/dia4_utt6.flac,meld,meld_Rachel,unknown,neutral,neutral,0,Hi.,0.256,16000,4,6,train
meld_train_dia4_utt7,data/raw/MELD_hf/train/dia4_utt7.flac,meld,meld_Ross,unknown,neutral,neutral,0,How'd did it go?,1.045,16000,4,7,train
meld_train_dia4_utt8,data/raw/MELD_hf/train/dia4_utt8.flac,meld,meld_Rachel,unknown,joy,joy,1,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",8.064,16000,4,8,train
meld_train_dia4_utt9,data/raw/MELD_hf/train/dia4_utt9.flac,meld,meld_Ross,unknown,joy,joy,1,I'm so proud of you.,1.365,16000,4,9,train
meld_train_dia4_utt10,data/raw/MELD_hf/train/dia4_utt10.flac,meld,meld_Rachel,unknown,joy,joy,1,Me too!,1.536,16000,4,10,train
meld_train_dia4_utt11,data/raw/MELD_hf/train/dia4_utt11.flac,meld,meld_Ross,unknown,sadness,sadness,2,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",9.301,16000,4,11,train
meld_train_dia4_utt12,data/raw/MELD_hf/train/dia4_utt12.flac,meld,meld_Rachel,unknown,neutral,neutral,0,I know.,1.045,16000,4,12,train
meld_train_dia4_utt13,data/raw/MELD_hf/train/dia4_utt13.flac,meld,meld_Ross,unknown,neutral,neutral,0,Yeah.,0.405,16000,4,13,train
meld_train_dia4_utt14,data/raw/MELD_hf/train/dia4_utt14.flac,meld,meld_Rachel,unknown,neutral,neutral,0,Yeah.,0.661,16000,4,14,train
meld_train_dia5_utt0,data/raw/MELD_hf/train/dia5_utt0.flac,meld,meld_Phoebe,unknown,neutral,neutral,0,Ameri-can.,1.728,16000,5,0,train
meld_train_dia5_utt1,data/raw/MELD_hf/train/dia5_utt1.flac,meld,meld_Joey,unknown,neutral,neutral,0,Ameri-ccan.,0.171,16000,5,1,train
meld_train_dia5_utt2,data/raw/MELD_hf/train/dia5_utt2.flac,meld,meld_Phoebe,unknown,neutral,neutral,0,Ameri-can. Y'know it's a,2.923,16000,5,2,train
meld_train_dia5_utt3,data/raw/MELD_hf/train/dia5_utt3.flac,meld,meld_Sergei,unknown,surprise,surprise,4,Everybody!!,2.837,16000,5,3,train
meld_train_dia6_utt0,data/raw/MELD_hf/train/dia6_utt0.flac,meld,meld_Chandler,unknown,joy,joy,1,Good job Joe! Well done! Top notch!,3.221,16000,6,0,train
meld_train_dia6_utt1,data/raw/MELD_hf/train/dia6_utt1.flac,meld,meld_Joey,unknown,surprise,surprise,4,You liked it? You really liked it?,1.6,16000,6,1,train
meld_train_dia6_utt2,data/raw/MELD_hf/train/dia6_utt2.flac,meld,meld_Chandler,unknown,joy,joy,1,"Oh-ho-ho, yeah!",1.685,16000,6,2,train
meld_train_dia6_utt3,data/raw/MELD_hf/train/dia6_utt3.flac,meld,meld_Joey,unknown,neutral,neutral,0,Which part exactly?,1.984,16000,6,3,train
meld_train_dia6_utt4,data/raw/MELD_hf/train/dia6_utt4.flac,meld,meld_Chandler,unknown,neutral,neutral,0,The whole thing! Can we go?,2.56,16000,6,4,train
meld_train_dia6_utt5,data/raw/MELD_hf/train/dia6_utt5.flac,meld,meld_Joey,unknown,anger,anger,3,"Oh no-no-no, give me some specifics.",2.389,16000,6,5,train
meld_train_dia6_utt6,data/raw/MELD_hf/train/dia6_utt6.flac,meld,meld_Chandler,unknown,joy,joy,1,"I love the specifics, the specifics were the best part!",4.053,16000,6,6,train
meld_train_dia6_utt7,data/raw/MELD_hf/train/dia6_utt7.flac,meld,meld_Joey,unknown,neutral,neutral,0,"Hey, what about the scene with the kangaroo? Did-did you like that part?",5.056,16000,6,7,train
meld_train_dia6_utt8,data/raw/MELD_hf/train/dia6_utt8.flac,meld,meld_Chandler,unknown,surprise,surprise,4,I was surprised to see a kangaroo in a World War I epic.,5.632,16000,6,8,train
meld_train_dia6_utt9,data/raw/MELD_hf/train/dia6_utt9.flac,meld,meld_Joey,unknown,anger,anger,3,You fell asleep!!,1.003,16000,6,9,train
meld_train_dia6_utt10,data/raw/MELD_hf/train/dia6_utt10.flac,meld,meld_Joey,unknown,anger,anger,3,There was no kangaroo!,1.365,16000,6,10,train
meld_train_dia6_utt11,data/raw/MELD_hf/train/dia6_utt11.flac,meld,meld_Joey,unknown,anger,anger,3,They didn't take any of my suggestions!,3.371,16000,6,11,train
meld_train_dia6_utt12,data/raw/MELD_hf/train/dia6_utt12.flac,meld,meld_Joey,unknown,neutral,neutral,0,That's for coming buddy.,1.28,16000,6,12,train
meld_train_dia6_utt13,data/raw/MELD_hf/train/dia6_utt13.flac,meld,meld_Joey,unknown,neutral,neutral,0,I'll see you later.,0.939,16000,6,13,train
meld_train_dia6_utt14,data/raw/MELD_hf/train/dia6_utt14.flac,meld,meld_Chandler,unknown,sadness,sadness,2,Don't go!,0.597,16000,6,14,train
meld_train_dia6_utt15,data/raw/MELD_hf/train/dia6_utt15.flac,meld,meld_Chandler,unknown,sadness,sadness,2,I'm sorry.,0.704,16000,6,15,train
meld_train_dia6_utt16,data/raw/MELD_hf/train/dia6_utt16.flac,meld,meld_Chandler,unknown,sadness,sadness,2,I'm so sorry!,1.301,16000,6,16,train
meld_train_dia6_utt17,data/raw/MELD_hf/train/dia6_utt17.flac,meld,meld_Chandler,unknown,surprise,surprise,4,Look!,0.448,16000,6,17,train
meld_train_dia6_utt18,data/raw/MELD_hf/train/dia6_utt18.flac,meld,meld_Chandler,unknown,anger,anger,3,This guy fell asleep!,1.173,16000,6,18,train
meld_train_dia6_utt19,data/raw/MELD_hf/train/dia6_utt19.flac,meld,meld_Chandler,unknown,anger,anger,3,He fell asleep too!,0.619,16000,6,19,train
meld_train_dia6_utt20,data/raw/MELD_hf/train/dia6_utt20.flac,meld,meld_Chandler,unknown,anger,anger,3,Be mad at him!,0.875,16000,6,20,train
meld_train_dia6_utt21,data/raw/MELD_hf/train/dia6_utt21.flac,meld,meld_Chandler,unknown,anger,anger,3,"Or, call an ambulance.",1.877,16000,6,21,train
meld_train_dia7_utt0,data/raw/MELD_hf/train/dia7_utt0.flac,meld,meld_Joey,unknown,neutral,neutral,0,"Okay, look, I think we have to tell Rachel she messed up her dessert.",2.88,16000,7,0,train
meld_train_dia7_utt1,data/raw/MELD_hf/train/dia7_utt1.flac,meld,meld_Ross,unknown,anger,anger,3,"What?! What is with everybody? It's Thanksgiving, not...Truth-Day!",4.096,16000,7,1,train
meld_train_dia8_utt0,data/raw/MELD_hf/train/dia8_utt0.flac,meld,meld_Phoebe,unknown,neutral,neutral,0,"Yes, and it is my dying wish to have that ring.",4.096,16000,8,0,train
meld_train_dia8_utt1,data/raw/MELD_hf/train/dia8_utt1.flac,meld,meld_Phoebe,unknown,neutral,neutral,0,"See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity",7.36,16000,8,1,train
meld_train_dia8_utt2,data/raw/MELD_hf/train/dia8_utt2.flac,meld,meld_Chandler,unknown,neutral,neutral,0,"Okay, that's enough honey!",1.344,16000,8,2,train
meld_train_dia8_utt3,data/raw/MELD_hf/train/dia8_utt3.flac,meld,meld_Customer,unknown,neutral,neutral,0,I don't know. Let me see the ring.,6.592,16000,8,3,train
meld_train_dia8_utt4,data/raw/MELD_hf/train/dia8_utt4.flac,meld,meld_Chandler,unknown,joy,joy,1,"Great! Okay, here.",2.837,16000,8,4,train
meld_train_dia8_utt5,data/raw/MELD_hf/train/dia8_utt5.flac,meld,meld_Customer,unknown,neutral,neutral,0,All right.,2.581,16000,8,5,train
meld_train_dia8_utt6,data/raw/MELD_hf/train/dia8_utt6.flac,meld,meld_Chandler,unknown,joy,joy,1,Thank you. Thank you. Thank you! And,0.128,16000,8,6,train
meld_train_dia9_utt0,data/raw/MELD_hf/train/dia9_utt0.flac,meld,meld_Chandler,unknown,neutral,neutral,0,What've you been up to?,2.837,16000,9,0,train
meld_train_dia9_utt1,data/raw/MELD_hf/train/dia9_utt1.flac,meld,meld_Jade,unknown,neutral,neutral,0,"Oh, you know, the usual, teaching aerobics, partying way too much.",6.272,16000,9,1,train
meld_train_dia9_utt2,data/raw/MELD_hf/train/dia9_utt2.flac,meld,meld_Jade,unknown,neutral,neutral,0,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",5.845,16000,9,2,train
meld_train_dia9_utt3,data/raw/MELD_hf/train/dia9_utt3.flac,meld,meld_Chandler,unknown,joy,joy,1,Can you hold on a moment? I have another call. I love her.,4.224,16000,9,3,train
meld_train_dia9_utt4,data/raw/MELD_hf/train/dia9_utt4.flac,meld,meld_Ross,unknown,neutral,neutral,0,I know.,1.685,16000,9,4,train
meld_train_dia9_utt5,data/raw/MELD_hf/train/dia9_utt5.flac,meld,meld_Chandler,unknown,neutral,neutral,0,I'm back.,0.64,16000,9,5,train
meld_train_dia9_utt6,data/raw/MELD_hf/train/dia9_utt6.flac,meld,meld_Jade,unknown,neutral,neutral,0,"So, are we gonna get together or what?",2.261,16000,9,6,train
meld_train_dia9_utt7,data/raw/MELD_hf/train/dia9_utt7.flac,meld,meld_Chandler,unknown,neutral,neutral,0,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",6.229,16000,9,7,train
meld_train_dia9_utt8,data/raw/MELD_hf/train/dia9_utt8.flac,meld,meld_Jade,unknown,neutral,neutral,0,"Great, I'll see you then.",2.88,16000,9,8,train
meld_train_dia9_utt9,data/raw/MELD_hf/train/dia9_utt9.flac,meld,meld_Chandler,unknown,joy,joy,1,Ok. Ok. Having a phone has finally paid off.,2.219,16000,9,9,train
meld_train_dia9_utt10,data/raw/MELD_hf/train/dia9_utt10.flac,meld,meld_Ross,unknown,neutral,neutral,0,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",6.805,16000,9,10,train
meld_train_dia9_utt11,data/raw/MELD_hf/train/dia9_utt11.flac,meld,meld_Chandler,unknown,neutral,neutral,0,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",4.971,16000,9,11,train
meld_train_dia9_utt12,data/raw/MELD_hf/train/dia9_utt12.flac,meld,meld_Ross,unknown,disgust,disgust,6,Oh my god. You are pure evil.,2.752,16000,9,12,train
meld_train_dia9_utt13,data/raw/MELD_hf/train/dia9_utt13.flac,meld,meld_Chandler,unknown,anger,anger,3,"Ok, pure evil , horny and alone . I've done this",8.427,16000,9,13,train
meld_train_dia10_utt0,data/raw/MELD_hf/train/dia10_utt0.flac,meld,meld_Phoebe,unknown,anger,anger,3,Nobody!,1.429,16000,10,0,train
meld_train_dia10_utt1,data/raw/MELD_hf/train/dia10_utt1.flac,meld,meld_Phoebe,unknown,anger,anger,3,Nobody respects the bucket!,1.387,16000,10,1,train
meld_train_dia10_utt2,data/raw/MELD_hf/train/dia10_utt2.flac,meld,meld_Phoebe,unknown,anger,anger,3,You wouldn't believe what people put in here!,2.176,16000,10,2,train
meld_train_dia10_utt3,data/raw/MELD_hf/train/dia10_utt3.flac,meld,meld_Phoebe,unknown,anger,anger,3,Look!,1.728,16000,10,3,train
meld_train_dia10_utt4,data/raw/MELD_hf/train/dia10_utt4.flac,meld,meld_Phoebe,unknown,anger,anger,3,"Okay, does this look like a garbage can to you?",4.139,16000,10,4,train
meld_train_dia10_utt5,data/raw/MELD_hf/train/dia10_utt5.flac,meld,meld_Monica,unknown,neutral,neutral,0,No.,2.261,16000,10,5,train
meld_train_dia11_utt0,data/raw/MELD_hf/train/dia11_utt0.flac,meld,meld_Ross,unknown,neutral,neutral,0,This is my wedding.,1.216,16000,11,0,train
meld_train_dia11_utt1,data/raw/MELD_hf/train/dia11_utt1.flac,meld,meld_Monica,unknown,anger,anger,3,"All right, y'know what? We really are late! Let's go! Let's go! Let's go!!",3.435,16000,11,1,train
meld_train_dia11_utt2,data/raw/MELD_hf/train/dia11_utt2.flac,meld,meld_Ross,unknown,neutral,neutral,0,Fine. You'll-you'll watch it on video when we get back.,2.731,16000,11,2,train
meld_train_dia11_utt3,data/raw/MELD_hf/train/dia11_utt3.flac,meld,meld_Chandler,unknown,joy,joy,1,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,2.837,16000,11,3,train
meld_train_dia11_utt4,data/raw/MELD_hf/train/dia11_utt4.flac,meld,meld_Phoebe,unknown,neutral,neutral,0,Thank you.,0.981,16000,11,4,train
meld_train_dia11_utt5,data/raw/MELD_hf/train/dia11_utt5.flac,meld,meld_Phoebe,unknown,neutral,neutral,0,Thank you.,0.128,16000,11,5,train
meld_train_dia11_utt6,data/raw/MELD_hf/train/dia11_utt6.flac,meld,meld_Ross,unknown,joy,joy,1,"All right, let's go! Bye, Pheebs!",1.963,16000,11,6,train
meld_train_dia11_utt7,data/raw/MELD_hf/train/dia11_utt7.flac,meld,meld_Joey,unknown,joy,joy,1,"Bye, Pheebs!",1.728,16000,11,7,train
meld_train_dia11_utt8,data/raw/MELD_hf/train/dia11_utt8.flac,meld,meld_Joey,unknown,joy,joy,1,London baby!!,1.771,16000,11,8,train
meld_train_dia11_utt9,data/raw/MELD_hf/train/dia11_utt9.flac,meld,meld_Phoebe,unknown,joy,joy,1,"Oh, do you need a hug? You don't have to bring me anything!",6.72,16000,11,9,train
meld_train_dia12_utt0,data/raw/MELD_hf/train/dia12_utt0.flac,meld,meld_Chandler,unknown,neutral,neutral,0,Hey!,1.771,16000,12,0,train
meld_train_dia12_utt1,data/raw/MELD_hf/train/dia12_utt1.flac,meld,meld_Joey,unknown,joy,joy,1,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.,8.896,16000,12,1,train
meld_train_dia12_utt2,data/raw/MELD_hf/train/dia12_utt2.flac,meld,meld_Chandler,unknown,disgust,disgust,6,"That's great, but shouldn't you be on the toilet right now?",3.563,16000,12,2,train
meld_train_dia12_utt3,data/raw/MELD_hf/train/dia12_utt3.flac,meld,meld_Joey,unknown,surprise,surprise,4,What?!,1.301,16000,12,3,train
meld_train_dia12_utt4,data/raw/MELD_hf/train/dia12_utt4.flac,meld,meld_Chandler,unknown,disgust,disgust,6,What's wrong with you?,1.28,16000,12,4,train
meld_train_dia12_utt5,data/raw/MELD_hf/train/dia12_utt5.flac,meld,meld_Joey,unknown,neutral,neutral,0,Nothing!,1.003,16000,12,5,train
meld_train_dia12_utt6,data/raw/MELD_hf/train/dia12_utt6.flac,meld,meld_Joey,unknown,fear,fear,5,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since.",10.389,16000,12,6,train
meld_train_dia12_utt7,data/raw/MELD_hf/train/dia12_utt7.flac,meld,meld_Joey,unknown,neutral,neutral,0,"But um, I don't think it's anything serious.",2.795,16000,12,7,train
meld_train_dia12_utt8,data/raw/MELD_hf/train/dia12_utt8.flac,meld,meld_Chandler,unknown,surprise,surprise,4,This sounds like a hernia. You have to-you-you go to the doctor!,3.008,16000,12,8,train
meld_train_dia12_utt9,data/raw/MELD_hf/train/dia12_utt9.flac,meld,meld_Joey,unknown,fear,fear,5,"No way! 'Kay look, if I have to go to the doctor for anything it's gonna be for this thing sticking out of my stomach!",6.592,16000,12,9,train
meld_train_dia12_utt10,data/raw/MELD_hf/train/dia12_utt10.flac,meld,meld_Chandler,unknown,disgust,disgust,6,That's a hernia.,1.173,16000,12,10,train
meld_train_dia12_utt11,data/raw/MELD_hf/train/dia12_utt11.flac,meld,meld_Joey,unknown,anger,anger,3,Why did I have to start working out again? Damn you 15s!,5.397,16000,12,11,train
meld_train_dia13_utt0,data/raw/MELD_hf/train/dia13_utt0.flac,meld,meld_Mona,unknown,joy,joy,1,I love your place! Where is this guy from?,4.096,16000,13,0,train
meld_train_dia13_utt1,data/raw/MELD_hf/train/dia13_utt1.flac,meld,meld_Ross,unknown,neutral,neutral,0,Uh that's an eighteenth century Indian artifact from Calcutta.,9.813,16000,13,1,train
meld_train_dia13_utt2,data/raw/MELD_hf/train/dia13_utt2.flac,meld,meld_Mona,unknown,surprise,surprise,4,"Oh wow! So, you're more than just dinosaurs.",6.016,16000,13,2,train
meld_train_dia13_utt3,data/raw/MELD_hf/train/dia13_utt3.flac,meld,meld_Ross,unknown,neutral,neutral,0,So much more.,1.92,16000,13,3,train
meld_train_dia14_utt0,data/raw/MELD_hf/train/dia14_utt0.flac,meld,meld_Ross,unknown,neutral,neutral,0,"Well, well to sum up, we're having fun, you look young.",11.349,16000,14,0,train
meld_train_dia14_utt1,data/raw/MELD_hf/train/dia14_utt1.flac,meld,meld_Mona,unknown,neutral,neutral,0,Okay,2.923,16000,14,1,train
meld_train_dia14_utt2,data/raw/MELD_hf/train/dia14_utt2.flac,meld,meld_Ross,unknown,neutral,neutral,0,But that's not enough. So... So...here's a key to my apartment.,8.896,16000,14,2,train
meld_train_dia14_utt3,data/raw/MELD_hf/train/dia14_utt3.flac,meld,meld_Mona,unknown,surprise,surprise,4,Really?!,2.795,16000,14,3,train
meld_train_dia14_utt4,data/raw/MELD_hf/train/dia14_utt4.flac,meld,meld_Ross,unknown,neutral,neutral,0,Really.,0.32,16000,14,4,train
meld_train_dia14_utt5,data/raw/MELD_hf/train/dia14_utt5.flac,meld,meld_Mona,unknown,neutral,neutral,0,You don't think this is too fast.,3.435,16000,14,5,train
meld_train_dia15_utt0,data/raw/MELD_hf/train/dia15_utt0.flac,meld,meld_Ross,unknown,anger,anger,3,Get Out!,3.84,16000,15,0,train
meld_train_dia15_utt1,data/raw/MELD_hf/train/dia15_utt1.flac,meld,meld_Charlie,unknown,neutral,neutral,0,"Ross, can I talk to you for a minute?",1.877,16000,15,1,train
meld_train_dia15_utt2,data/raw/MELD_hf/train/dia15_utt2.flac,meld,meld_Ross,unknown,neutral,neutral,0,"Yes, please! So, what's going on?",6.891,16000,15,2,train
meld_train_dia15_utt3,data/raw/MELD_hf/train/dia15_utt3.flac,meld,meld_Charlie,unknown,sadness,sadness,2,"Uh, well... Joey and I broke up.",3.648,16000,15,3,train
meld_train_dia15_utt4,data/raw/MELD_hf/train/dia15_utt4.flac,meld,meld_Ross,unknown,surprise,surprise,4,"Oh my God, wh-what happened?",5.44,16000,15,4,train
meld_train_dia15_utt5,data/raw/MELD_hf/train/dia15_utt5.flac,meld,meld_Charlie,unknown,sadness,sadness,2,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",8.512,16000,15,5,train
meld_train_dia15_utt6,data/raw/MELD_hf/train/dia15_utt6.flac,meld,meld_Ross,unknown,anger,anger,3,I knew that was him!,2.517,16000,15,6,train
meld_train_dia15_utt7,data/raw/MELD_hf/train/dia15_utt7.flac,meld,meld_Charlie,unknown,sadness,sadness,2,"Anyway I just, uh, I think it's for the best.",3.797,16000,15,7,train
